"block","variable","item_name_de","item_name_en","group","n_valid","n_selected","pct"
"SO04","SO04_08","Proprietäre BIM-Formate (RVT, PLN, VWX etc. )","Proprietary BIM formats (RVT, PLN, VWX, etc.)","MEP",15,6,40
"SO04","SO04_09","Industry Foundation Classes (IFC)","IFC","MEP",15,12,80
"SO04","SO04_10","BIM Collaboration Format (BCF)","BIM Collaboration Format (BCF)","MEP",15,7,46.6666666666667
"SO04","SO04_11","Green Building XML (gbXML)","Green Building XML (gbXML)","MEP",15,1,6.66666666666667
"SO05","SO05_01","Online-Portale der Hersteller","Manufacturer online portals","Architecture",8,5,62.5
"SO05","SO05_02","Herstellerübergreifende Online-Portale (z.B. MEPcontent)","Cross-manufacturer portals (e.g. MEPcontent)","Architecture",8,0,0
"SO05","SO05_03","Unternehmenseigene Sammlung herstellerspezifischer Produkte","In-house library (manufacturer-specific)","Architecture",8,0,0
"SO05","SO05_04","Unternehmenseigene Sammlung herstellerneutraler Produkte","In-house library (manufacturer-neutral)","Architecture",8,1,12.5
"SO05","SO05_05","Integrierte Produktkataloge in Planungssoftware (herstellerspezifisch)","Software catalogue (manufacturer-specific)","Architecture",8,0,0
"SO05","SO05_06","Integrierte Produktkataloge in Planungssoftware (herstellerneutral)","Software catalogue (manufacturer-neutral)","Architecture",8,0,0
"SO05","SO05_07","Von anderen Projektbeteiligten","Other project participants","Architecture",8,7,87.5
"SO05","SO05_01","Online-Portale der Hersteller","Manufacturer online portals","MEP",15,13,86.6666666666667
"SO05","SO05_02","Herstellerübergreifende Online-Portale (z.B. MEPcontent)","Cross-manufacturer portals (e.g. MEPcontent)","MEP",15,3,20
"SO05","SO05_03","Unternehmenseigene Sammlung herstellerspezifischer Produkte","In-house library (manufacturer-specific)","MEP",15,7,46.6666666666667
"SO05","SO05_04","Unternehmenseigene Sammlung herstellerneutraler Produkte","In-house library (manufacturer-neutral)","MEP",15,9,60
"SO05","SO05_05","Integrierte Produktkataloge in Planungssoftware (herstellerspezifisch)","Software catalogue (manufacturer-specific)","MEP",15,8,53.3333333333333
"SO05","SO05_06","Integrierte Produktkataloge in Planungssoftware (herstellerneutral)","Software catalogue (manufacturer-neutral)","MEP",15,7,46.6666666666667
"SO05","SO05_07","Von anderen Projektbeteiligten","Other project participants","MEP",15,4,26.6666666666667
"SO06","SO06_01","PDF (Produktkataloge, Datenblätter etc.)","PDF","Architecture",8,5,62.5
"SO06","SO06_02","Word (.docx) oder andere Textverarbeitung","DOCX","Architecture",8,0,0
"SO06","SO06_03","Excel (.xlsx) oder andere Tabellenkalkulation","XLSX","Architecture",8,0,0
"SO06","SO06_04","AutoCAD (DWG, DXF)","DWG / DXF","Architecture",8,5,62.5
"SO06","SO06_05","Revit-Familien (RFA)","RFA","Architecture",8,5,62.5
"SO06","SO06_06","Industry Foundation Classes (IFC)","IFC","Architecture",8,6,75
"SO06","SO06_07","VDI 3805 (VDI)","VDI 3805","Architecture",8,0,0
"SO06","SO06_08","ETIM (BMEcat, xChange)","ETIM / BMEcat","Architecture",8,0,0
"SO06","SO06_01","PDF (Produktkataloge, Datenblätter etc.)","PDF","MEP",15,12,80
"SO06","SO06_02","Word (.docx) oder andere Textverarbeitung","DOCX","MEP",15,5,33.3333333333333
"SO06","SO06_03","Excel (.xlsx) oder andere Tabellenkalkulation","XLSX","MEP",15,4,26.6666666666667
"SO06","SO06_04","AutoCAD (DWG, DXF)","DWG / DXF","MEP",15,12,80
"SO06","SO06_05","Revit-Familien (RFA)","RFA","MEP",15,5,33.3333333333333
"SO06","SO06_06","Industry Foundation Classes (IFC)","IFC","MEP",15,11,73.3333333333333
"SO06","SO06_07","VDI 3805 (VDI)","VDI 3805","MEP",15,5,33.3333333333333
"SO06","SO06_08","ETIM (BMEcat, xChange)","ETIM / BMEcat","MEP",15,1,6.66666666666667
"SO02","SO02_open_gstarcad","GstarCAD","GstarCAD","Architecture",8,0,0
"SO02","SO02_open_gstarcad","GstarCAD","GstarCAD","MEP",15,1,6.66666666666667
"SO02","SO02_open_bricscad","BricsCAD","BricsCAD","Architecture",8,0,0
